file,Number of Packets,Median Time Between Packets,Bytes Down,Bytes Up,Number of Flows,Average Download Speed
0,4193.0,0.0001005,0.0,0.0,65.0,643.3900000000001
1,4228.0,9.6e-05,15752901.0,227241.0,63.0,763.56
10,15917.0,2.8e-05,17191704.0,355968.0,65.0,65.94999999999999
100,3955.0,9.5e-05,15232625.0,220646.0,63.0,709.97
101,4664.0,0.000116,15754546.0,252117.0,61.0,830.56
102,4731.0,0.00011,15767568.0,253321.0,65.0,708.265
103,3999.0,0.000108,15732220.0,228815.0,65.0,437.61
104,4665.0,0.000125,15768401.0,248710.0,67.0,792.5550000000001
105,4786.0,0.000115,15770027.0,249718.0,63.0,782.31
106,4560.0,0.000122,15749099.0,253585.0,63.0,604.795
107,4806.0,0.000102,15750775.0,251019.0,63.0,763.8199999999999
108,4645.0,0.000102,15755505.0,247660.0,63.0,791.375
109,15264.0,3e-05,16381852.0,340954.0,63.0,66.30000000000001
11,15042.0,2.9e-05,16358386.0,333300.0,61.0,54.555
110,15137.0,3e-05,16367859.0,336687.0,65.0,66.125
111,4503.0,0.000115,15749772.0,248277.0,63.0,810.63
112,4572.0,0.00011,15752169.0,251436.0,63.0,791.87
113,14408.0,3.1e-05,14754180.0,363425.0,65.0,38.57
114,13981.0,3.1e-05,14624574.0,341084.0,65.0,47.985
115,15587.0,3e-05,16362778.0,363923.0,63.0,66.135
116,15041.0,2.9e-05,16364158.0,333381.0,63.0,52.385000000000005
117,15043.0,2.9e-05,16364518.0,346607.0,65.0,66.84
118,4680.0,0.000101,14585765.0,253025.0,65.0,750.73
119,4857.0,0.000123,15771184.0,257733.0,63.0,746.54
12,3900.0,9.5e-05,15750880.0,216528.0,61.0,731.725
120,3610.0,0.000107,13864161.0,225774.0,65.0,671.29
121,4782.0,0.000132,15764502.0,253950.0,61.0,777.7650000000001
122,3724.0,0.0001,13685028.0,228579.0,65.0,760.25
123,4160.0,0.000114,15749555.0,225845.0,65.0,516.265
124,14244.0,3e-05,14624455.0,360188.0,63.0,64.725
125,14916.0,3e-05,16354646.0,326316.0,63.0,66.22
126,13656.0,3e-05,14602816.0,319003.0,61.0,66.10499999999999
127,4224.0,9.2e-05,15740155.0,218581.0,63.0,776.94
128,4128.0,0.000104,15743344.0,223571.0,65.0,788.56
129,4307.0,0.000157,15747462.0,236036.0,65.0,765.015
13,4551.0,0.00013,15743153.0,255470.0,63.0,740.255
130,3890.0,9.9e-05,15731275.0,216828.0,63.0,488.21999999999997
131,3937.0,0.000149,15729153.0,228647.0,63.0,526.34
132,4478.0,0.000121,15754946.0,232455.0,63.0,783.085
133,3988.0,9.4e-05,15506702.0,219666.0,65.0,735.6199999999999
134,4268.0,0.000138,15738829.0,233639.0,61.0,815.69
135,3641.0,0.000105,15421471.0,216277.0,63.0,717.25
136,3776.0,0.000101,15725849.0,219662.0,63.0,490.56
137,15405.0,3e-05,16363883.0,357005.0,63.0,65.995
138,15207.0,3e-05,16358997.0,345325.0,63.0,52.745000000000005
139,4005.0,0.000108,15236455.0,232543.0,63.0,555.365
